innings,Bowler,Overs,Maidens,Runs,Wickets,Econ,0s,4s,6s,WD,NB,id
India,Mitchell Starc,10,0,55,3,5.50,30,4,1,3,0,4705
India,Josh Hazlewood,10,0,60,2,6.00,22,4,1,1,0,4705
India,Glenn Maxwell,6,0,35,1,5.83,19,4,1,0,0,4705
India,Pat Cummins,10,0,34,2,3.40,30,0,0,2,0,4705
India,Adam Zampa,10,0,44,1,4.40,22,1,0,1,0,4705
India,Mitchell Marsh,2,0,5,0,2.50,7,0,0,0,0,4705
India,Travis Head,2,0,4,0,2.00,8,0,0,0,0,4705
Australia,Jasprit Bumrah,9,2,43,2,4.77,37,8,0,0,0,4705
Australia,Mohammed Shami,7,1,47,1,6.71,28,6,1,3,0,4705
Australia,Ravindra Jadeja,10,0,43,0,4.30,29,1,1,1,0,4705
Australia,Kuldeep Yadav,10,0,56,0,5.60,25,3,2,0,0,4705
Australia,Mohammed Siraj,7,0,45,1,6.42,16,4,1,0,0,4705
South Africa,Mitchell Starc,10,1,34,3,3.40,46,3,1,4,0,4704
South Africa,Josh Hazlewood,8,3,12,2,1.50,39,1,0,0,0,4704
South Africa,Pat Cummins,9.4,0,51,3,5.27,32,5,1,2,0,4704
South Africa,Adam Zampa,7,0,55,0,7.85,21,1,6,0,0,4704
South Africa,Glenn Maxwell,10,0,35,0,3.50,35,3,0,0,0,4704
South Africa,Travis Head,5,0,21,2,4.20,19,3,0,1,0,4704
Australia,Marco Jansen,4.2,0,35,0,8.07,18,6,1,4,0,4704
Australia,Kagiso Rabada,6,0,41,1,6.83,24,2,4,1,1,4704
Australia,Aiden Markram,8,1,23,1,2.87,34,1,1,1,0,4704
Australia,Gerald Coetzee,9,0,47,2,5.22,35,8,0,1,1,4704
Australia,Tabraiz Shamsi,10,0,42,2,4.20,36,3,0,5,0,4704
Australia,Keshav Maharaj,10,0,24,1,2.40,39,1,0,0,0,4704
India,Trent Boult,10,0,86,1,8.60,26,9,4,2,0,4703
India,Tim Southee,10,0,100,3,10.00,20,8,6,1,0,4703
India,Mitchell Santner,10,1,51,0,5.10,29,3,2,0,0,4703
India,Lockie Ferguson,8,0,65,0,8.12,15,7,1,1,0,4703
India,Rachin Ravindra,7,0,60,0,8.57,13,2,4,2,0,4703
India,Glenn Phillips,5,0,33,0,6.60,11,1,2,0,0,4703
New Zealand,Jasprit Bumrah,10,1,64,1,6.40,32,6,1,6,0,4703
New Zealand,Mohammed Siraj,9,0,78,1,8.66,26,10,3,3,0,4703
New Zealand,Mohammed Shami,9.5,0,57,7,5.79,37,3,4,2,0,4703
New Zealand,Ravindra Jadeja,10,0,63,0,6.30,29,3,3,0,1,4703
New Zealand,Kuldeep Yadav,10,0,56,1,5.60,26,6,0,0,0,4703
India,Aryan Dutt,7,0,52,0,7.42,19,7,1,1,0,4702
India,Logan van Beek,10,0,107,0,10.70,17,10,6,1,0,4702
India,Colin Ackermann,3,0,25,0,8.33,5,2,1,1,0,4702
India,Paul van Meekeren,10,0,90,1,9.00,19,6,5,2,1,4702
India,Roelof van der Merwe,10,0,53,1,5.30,27,4,1,0,0,4702
India,Bas de Leede,10,0,82,2,8.20,22,8,2,8,0,4702
Netherlands,Jasprit Bumrah,9,1,33,2,3.66,35,3,0,1,0,4702
Netherlands,Mohammed Siraj,6,1,29,2,4.83,23,5,0,1,0,4702
Netherlands,Mohammed Shami,6,0,41,0,6.83,15,4,1,1,0,4702
Netherlands,Kuldeep Yadav,10,1,41,2,4.10,39,1,3,0,0,4702
Netherlands,Ravindra Jadeja,9,0,49,2,5.44,31,4,2,1,0,4702
Netherlands,Virat Kohli,3,0,13,1,4.33,10,1,0,0,0,4702
Netherlands,Shubman Gill,2,0,11,0,5.50,4,1,0,0,0,4702
Netherlands,Suryakumar Yadav,2,0,17,0,8.50,5,0,2,0,0,4702
Netherlands,Rohit Sharma,0.5,0,7,1,8.40,3,0,1,0,0,4702
England,Shaheen Shah Afridi,10,1,72,2,7.20,32,9,3,0,0,4701
England,Haris Rauf,10,0,64,3,6.40,32,7,0,3,0,4701
England,Iftikhar Ahmed,7,0,38,1,5.42,17,4,0,0,0,4701
England,Mohammad Wasim,10,0,74,2,7.40,26,7,3,1,0,4701
England,Shadab Khan,10,0,57,0,5.70,25,5,1,0,0,4701
England,Agha Salman,3,0,25,0,8.33,7,3,1,0,0,4701
Pakistan,David Willey,10,0,56,3,5.60,37,8,1,2,0,4701
Pakistan,Chris Woakes,5.3,0,27,1,4.90,22,5,0,0,0,4701
Pakistan,Adil Rashid,10,0,55,2,5.50,26,4,1,1,0,4701
Pakistan,Gus Atkinson,8,0,45,2,5.62,29,3,3,2,0,4701
Pakistan,Moeen Ali,10,0,60,2,6.00,27,7,1,0,0,4701
Bangladesh,Josh Hazlewood,7,1,21,0,3.00,29,2,0,0,0,4700
Bangladesh,Pat Cummins,8,0,56,0,7.00,22,7,0,4,0,4700
Bangladesh,Sean Abbott,10,0,61,2,6.10,29,4,2,0,1,4700
Bangladesh,Mitchell Marsh,4,0,48,0,12.00,8,6,2,2,1,4700
Bangladesh,Adam Zampa,10,0,32,2,3.20,39,2,1,0,0,4700
Bangladesh,Travis Head,6,0,33,0,5.50,14,2,1,0,0,4700
Bangladesh,Marcus Stoinis,5,0,45,1,9.00,4,4,0,2,0,4700
Australia,Taskin Ahmed,10,0,61,1,6.10,30,6,2,1,0,4700
Australia,Mahedi Hasan,9,0,38,0,4.22,29,3,0,1,0,4700
Australia,Nasum Ahmed,10,0,85,0,8.50,21,9,3,1,0,4700
Australia,Mehidy Hasan Miraz,6,0,47,0,7.83,13,3,3,0,0,4700
Australia,Mustafizur Rahman,9.4,1,76,1,7.86,20,8,2,1,0,4700
Afghanistan,Kagiso Rabada,10,0,40,0,4.00,37,4,1,0,0,4699
Afghanistan,Lungi Ngidi,8.3,0,69,2,8.11,28,5,4,6,0,4699
Afghanistan,Aiden Markram,4.3,0,25,0,5.55,13,2,1,0,0,4699
Afghanistan,Gerald Coetzee,10,1,44,4,4.40,35,5,0,2,0,4699
Afghanistan,Keshav Maharaj,10,1,25,2,2.50,41,0,0,2,0,4699
Afghanistan,Andile Phehlukwayo,7,0,36,1,5.14,20,4,0,0,0,4699
South Africa,Mujeeb Ur Rahman,10,0,51,1,5.10,33,4,2,1,0,4699
South Africa,Naveen-ul-Haq,6.3,0,52,0,8.00,16,2,4,1,0,4699
South Africa,Mohammad Nabi,10,1,35,2,3.50,36,3,0,0,0,4699
South Africa,Azmatullah Omarzai,1,0,8,0,8.00,3,0,1,0,0,4699
South Africa,Rashid Khan,10,1,37,2,3.70,38,2,1,1,0,4699
South Africa,Noor Ahmad,9,0,49,0,5.44,23,3,0,3,0,4699
South Africa,Rahmat Shah,1,0,12,0,12.00,2,1,1,0,0,4699
Sri Lanka,Trent Boult,10,3,37,3,3.70,45,6,0,3,0,4698
Sri Lanka,Tim Southee,8,0,52,1,6.50,29,6,3,0,0,4698
Sri Lanka,Lockie Ferguson,10,2,35,2,3.50,43,6,0,0,0,4698
Sri Lanka,Mitchell Santner,10,2,22,2,2.20,45,2,0,0,0,4698
Sri Lanka,Rachin Ravindra,7.4,0,21,2,2.73,28,1,0,0,0,4698
Sri Lanka,Glenn Phillips,1,0,3,0,3.00,3,0,0,0,0,4698
New Zealand,Dilshan Madushanka,6.2,0,58,0,9.15,16,11,0,1,0,4698
New Zealand,Maheesh Theekshana,7,0,43,1,6.14,24,6,1,0,0,4698
New Zealand,Dhananjaya de Silva,2,0,22,0,11.00,3,1,2,0,0,4698
New Zealand,Dushmantha Chameera,4,1,20,1,5.00,17,1,2,0,0,4698
New Zealand,Angelo Mathews,4,0,29,2,7.25,10,4,0,1,0,4698
England,Aryan Dutt,10,0,67,2,6.70,30,5,3,1,1,4697
England,Logan van Beek,10,0,88,2,8.80,25,10,1,10,0,4697
England,Paul van Meekeren,10,0,57,1,5.70,28,5,0,5,0,4697
England,Bas de Leede,10,0,74,3,7.40,26,5,4,0,0,4697
England,Roelof van der Merwe,3,0,22,0,7.33,6,0,2,0,0,4697
England,Colin Ackermann,7,0,31,0,4.42,15,1,0,0,0,4697
Netherlands,Chris Woakes,7,0,19,1,2.71,33,2,0,2,0,4697
Netherlands,David Willey,7,2,19,2,2.71,33,3,0,0,0,4697
Netherlands,Gus Atkinson,7,0,41,0,5.85,25,4,2,1,0,4697
Netherlands,Moeen Ali,8.2,0,42,3,5.04,23,1,2,0,0,4697
Netherlands,Adil Rashid,8,0,54,3,6.75,22,5,2,1,0,4697
Afghanistan,Mitchell Starc,9,0,70,1,7.77,26,4,4,5,0,4696
Afghanistan,Josh Hazlewood,9,0,39,2,4.33,30,2,1,1,0,4696
Afghanistan,Glenn Maxwell,10,0,55,1,5.50,24,2,1,0,1,4696
Afghanistan,Pat Cummins,8,0,47,0,5.87,25,5,1,1,0,4696
Afghanistan,Adam Zampa,10,0,58,1,5.80,22,2,2,2,0,4696
Afghanistan,Travis Head,3,0,15,0,5.00,7,1,0,0,0,4696
Afghanistan,Marcus Stoinis,1,0,2,0,2.00,4,0,0,0,0,4696
Australia,Mujeeb Ur Rahman,8.5,1,72,0,8.15,28,8,4,0,0,4696
Australia,Naveen-ul-Haq,9,0,47,2,5.22,34,5,2,1,0,4696
Australia,Azmatullah Omarzai,7,1,52,2,7.42,25,7,2,1,0,4696
Australia,Rashid Khan,10,0,44,2,4.40,36,3,1,3,0,4696
Australia,Noor Ahmad,10,1,53,0,5.30,36,4,2,1,0,4696
Australia,Mohammad Nabi,2,0,20,0,10.00,6,3,1,0,0,4696
Sri Lanka,Shoriful Islam,9.3,0,51,2,5.36,33,7,0,1,0,4695
Sri Lanka,Taskin Ahmed,10,1,39,0,3.90,39,5,0,1,0,4695
Sri Lanka,Tanzim Hasan Sakib,10,0,80,3,8.00,27,8,4,2,0,4695
Sri Lanka,Shakib Al Hasan,10,0,57,2,5.70,23,1,3,0,0,4695
Sri Lanka,Mehidy Hasan Miraz,10,0,49,1,4.90,30,6,0,0,0,4695
Bangladesh,Dilshan Madushanka,10,1,69,3,6.90,35,7,3,4,0,4695
Bangladesh,Maheesh Theekshana,9,0,44,2,4.88,34,6,0,3,0,4695
Bangladesh,Kasun Rajitha,4,0,47,0,11.75,7,5,3,0,0,4695
Bangladesh,Dushmantha Chameera,8,0,54,0,6.75,25,8,1,2,0,4695
Bangladesh,Angelo Mathews,7.1,1,35,2,4.88,24,4,0,1,0,4695
Bangladesh,Dhananjaya de Silva,3,0,20,0,6.66,8,3,0,0,0,4695
India,Lungi Ngidi,8.2,0,63,1,7.56,29,8,3,2,0,4694
India,Marco Jansen,9.4,0,94,1,9.72,28,15,1,7,1,4694
India,Kagiso Rabada,10,1,48,1,4.80,33,6,0,0,0,4694
India,Keshav Maharaj,10,0,30,1,3.00,32,0,0,1,0,4694
India,Tabraiz Shamsi,10,0,72,1,7.20,22,5,1,7,1,4694
India,Aiden Markram,2,0,17,0,8.50,4,1,1,1,0,4694
South Africa,Jasprit Bumrah,5,0,14,0,2.80,23,2,0,1,0,4694
South Africa,Mohammed Siraj,4,1,11,1,2.75,18,1,0,0,0,4694
South Africa,Ravindra Jadeja,9,1,33,5,3.66,37,5,0,0,0,4694
South Africa,Mohammed Shami,4,0,18,2,4.50,16,2,0,1,0,4694
South Africa,Kuldeep Yadav,5.1,1,7,2,1.35,24,0,0,0,0,4694
Australia,David Willey,10,1,48,1,4.80,31,4,0,1,0,4693
Australia,Chris Woakes,9.3,0,54,4,5.68,31,5,1,0,0,4693
Australia,Mark Wood,10,0,70,2,7.00,27,9,0,3,0,4693
Australia,Liam Livingstone,6,0,42,1,7.00,10,2,1,0,0,4693
Australia,Moeen Ali,4,0,28,0,7.00,9,4,0,0,0,4693
Australia,Adil Rashid,10,0,38,2,3.80,34,1,1,0,0,4693
England,Mitchell Starc,10,0,66,2,6.60,29,7,1,4,0,4693
England,Josh Hazlewood,9.1,1,49,2,5.34,34,6,1,2,0,4693
England,Pat Cummins,10,1,49,2,4.90,32,5,1,0,0,4693
England,Adam Zampa,10,0,21,3,2.10,41,0,0,2,0,4693
England,Travis Head,5,0,28,0,5.60,12,0,2,0,0,4693
England,Marcus Stoinis,4,0,34,1,8.50,8,4,1,0,0,4693
New Zealand,Shaheen Shah Afridi,10,0,90,0,9.00,24,11,2,5,0,4692
New Zealand,Hasan Ali,10,0,82,1,8.20,26,10,2,2,1,4692
New Zealand,Iftikhar Ahmed,8,0,55,1,6.87,20,8,0,0,0,4692
New Zealand,Haris Rauf,10,0,85,1,8.50,24,11,2,2,0,4692
New Zealand,Mohammad Wasim,10,0,60,3,6.00,28,4,1,3,0,4692
New Zealand,Agha Salman,2,0,21,0,10.50,3,2,1,1,0,4692
Pakistan,Trent Boult,6,0,50,0,8.33,20,7,2,2,0,4692
Pakistan,Tim Southee,5,0,27,1,5.40,17,1,2,0,0,4692
Pakistan,Mitchell Santner,5,0,35,0,7.00,13,1,3,0,0,4692
Pakistan,Glenn Phillips,5,1,42,0,8.40,13,3,3,0,0,4692
Pakistan,Ish Sodhi,4,0,44,0,11.00,6,3,3,1,0,4692
Pakistan,Daryl Mitchell,0.3,0,1,0,2.00,2,0,0,0,0,4692
Netherlands,Mujeeb Ur Rahman,10,0,40,1,4.00,40,4,0,3,0,4691
Netherlands,Fazalhaq Farooqi,5,0,36,0,7.20,20,8,0,2,0,4691
Netherlands,Azmatullah Omarzai,3,0,11,0,3.66,10,1,0,0,0,4691
Netherlands,Mohammad Nabi,9.3,1,28,3,2.94,39,3,0,1,0,4691
Netherlands,Rashid Khan,10,0,31,0,3.10,35,0,0,3,0,4691
Netherlands,Noor Ahmad,9,0,31,2,3.44,36,3,0,3,0,4691
Afghanistan,Aryan Dutt,8.3,0,49,0,5.76,25,6,0,3,0,4691
Afghanistan,Logan van Beek,7,0,30,1,4.28,26,3,0,2,0,4691
Afghanistan,Paul van Meekeren,5,0,35,0,7.00,15,6,0,1,1,4691
Afghanistan,Roelof van der Merwe,5,0,27,1,5.40,11,2,0,0,0,4691
Afghanistan,Saqib Zulfiqar,3,0,25,1,8.33,8,4,0,0,1,4691
Afghanistan,Colin Ackermann,3,0,12,0,4.00,8,0,0,1,0,4691
India,Dilshan Madushanka,10,0,80,5,8.00,25,8,2,6,0,4690
India,Dushmantha Chameera,10,2,71,1,7.10,28,8,2,0,0,4690
India,Kasun Rajitha,9,0,65,0,7.22,25,7,2,1,0,4690
India,Angelo Mathews,3,0,11,0,3.66,10,1,0,0,0,4690
India,Maheesh Theekshana,10,0,67,0,6.70,18,5,1,1,0,4690
India,Dushan Hemantha,8,0,52,0,6.50,17,2,2,0,1,4690
Sri Lanka,Jasprit Bumrah,5,1,8,1,1.60,26,0,0,3,0,4690
Sri Lanka,Mohammed Siraj,7,2,16,3,2.28,35,2,0,1,0,4690
Sri Lanka,Mohammed Shami,5,1,18,5,3.60,22,3,0,0,0,4690
Sri Lanka,Kuldeep Yadav,2,0,3,0,1.50,9,0,0,0,0,4690
Sri Lanka,Ravindra Jadeja,0.4,0,4,1,6.00,3,1,0,0,0,4690
South Africa,Trent Boult,10,1,49,1,4.90,35,5,1,2,0,4689
South Africa,Matt Henry,5.3,0,31,0,5.63,20,4,1,1,0,4689
South Africa,Tim Southee,10,0,77,2,7.70,19,6,3,1,0,4689
South Africa,Mitchell Santner,10,0,58,0,5.80,18,2,1,2,0,4689
South Africa,Glenn Phillips,7,0,52,0,7.42,15,2,3,2,0,4689
South Africa,Rachin Ravindra,2,0,17,0,8.50,6,2,1,0,0,4689
South Africa,James Neesham,5.3,0,69,1,12.54,7,5,5,0,0,4689
New Zealand,Marco Jansen,8,1,31,3,3.87,29,3,0,1,1,4689
New Zealand,Lungi Ngidi,6,1,28,0,4.66,23,4,0,0,0,4689
New Zealand,Kagiso Rabada,6,2,16,1,2.66,27,2,0,0,0,4689
New Zealand,Gerald Coetzee,6.3,0,41,2,6.30,24,5,1,1,0,4689
New Zealand,Keshav Maharaj,9,0,46,4,5.11,32,3,3,0,0,4689
Bangladesh,Shaheen Shah Afridi,9,1,23,3,2.55,40,2,0,2,0,4688
Bangladesh,Iftikhar Ahmed,10,0,44,1,4.40,32,5,0,0,0,4688
Bangladesh,Haris Rauf,8,0,36,2,4.50,28,3,0,2,0,4688
Bangladesh,Mohammad Wasim,8.1,1,31,3,3.79,31,4,0,0,0,4688
Bangladesh,Usama Mir,10,0,66,1,6.60,27,5,3,1,0,4688
Pakistan,Taskin Ahmed,6,1,36,0,6.00,21,2,3,0,0,4688
Pakistan,Shoriful Islam,4,1,25,0,6.25,16,3,1,1,0,4688
Pakistan,Mehidy Hasan Miraz,9,0,60,3,6.66,25,3,4,0,0,4688
Pakistan,Mustafizur Rahman,7,0,47,0,6.71,23,9,0,1,0,4688
Pakistan,Shakib Al Hasan,5.3,0,30,0,5.45,13,1,1,0,0,4688
Pakistan,Najmul Hossain Shanto,1,0,5,0,5.00,4,1,0,0,0,4688
Sri Lanka,Mujeeb Ur Rahman,10,0,38,2,3.80,29,2,0,0,0,4687
Sri Lanka,Fazalhaq Farooqi,10,1,34,4,3.40,42,3,1,0,0,4687
Sri Lanka,Naveen-ul-Haq,6.3,0,47,0,7.23,16,5,1,2,0,4687
Sri Lanka,Azmatullah Omarzai,7,0,37,1,5.28,22,5,0,1,0,4687
Sri Lanka,Rashid Khan,10,0,50,1,5.00,27,3,0,2,0,4687
Sri Lanka,Mohammad Nabi,6,0,33,0,5.50,11,1,0,0,0,4687
Afghanistan,Dilshan Madushanka,9,0,48,2,5.33,28,4,1,3,0,4687
Afghanistan,Kasun Rajitha,10,0,48,1,4.80,37,4,1,2,0,4687
Afghanistan,Angelo Mathews,3,0,18,0,6.00,8,2,0,0,0,4687
Afghanistan,Dushmantha Chameera,9.2,0,51,0,5.46,29,4,2,0,0,4687
Afghanistan,Maheesh Theekshana,10,0,55,0,5.50,25,3,1,3,0,4687
Afghanistan,Dhananjaya de Silva,4,0,21,0,5.25,9,2,0,0,0,4687
India,David Willey,10,2,45,3,4.50,39,4,2,0,0,4686
India,Chris Woakes,9,1,33,2,3.66,36,3,0,1,0,4686
India,Adil Rashid,10,0,35,2,3.50,35,3,0,0,0,4686
India,Mark Wood,9,1,46,1,5.11,32,3,2,2,0,4686
India,Liam Livingstone,4,1,29,0,7.25,13,5,0,0,0,4686
India,Moeen Ali,8,0,37,0,4.62,19,2,0,0,0,4686
England,Jasprit Bumrah,6.5,1,32,3,4.68,31,3,2,2,0,4686
England,Mohammed Siraj,6,0,33,0,5.50,22,3,1,2,0,4686
England,Mohammed Shami,7,2,22,4,3.14,33,3,0,2,0,4686
England,Kuldeep Yadav,8,0,24,2,3.00,28,1,0,0,0,4686
England,Ravindra Jadeja,7,1,16,1,2.28,27,0,0,0,0,4686
Netherlands,Shoriful Islam,10,0,51,2,5.10,38,5,1,3,0,4685
Netherlands,Taskin Ahmed,9,1,43,2,4.77,32,6,0,1,0,4685
Netherlands,Shakib Al Hasan,10,1,37,1,3.70,35,4,0,0,0,4685
Netherlands,Mehidy Hasan Miraz,4,0,17,0,4.25,10,1,0,0,0,4685
Netherlands,Mustafizur Rahman,10,1,36,2,3.60,36,3,0,1,0,4685
Netherlands,Mahedi Hasan,7,0,40,2,5.71,23,3,1,1,0,4685
Bangladesh,Aryan Dutt,10,3,26,1,2.60,48,3,1,0,0,4685
Bangladesh,Logan van Beek,9,1,30,1,3.33,39,3,0,4,0,4685
Bangladesh,Colin Ackermann,7,1,25,1,3.57,29,2,1,0,0,4685
Bangladesh,Paul van Meekeren,7.2,0,23,4,3.13,30,2,0,2,0,4685
Bangladesh,Bas de Leede,7,0,25,2,3.57,30,4,0,0,0,4685
Bangladesh,Shariz Ahmad,2,0,13,0,6.50,5,2,0,0,0,4685
Australia,Matt Henry,6.2,0,67,1,10.57,21,8,4,2,2,4684
Australia,Trent Boult,10,0,77,3,7.70,25,7,3,3,0,4684
Australia,Lockie Ferguson,3,0,38,0,12.66,6,3,3,0,0,4684
Australia,Mitchell Santner,10,0,80,2,8.00,23,6,4,1,0,4684
Australia,Glenn Phillips,10,0,37,3,3.70,30,2,0,0,0,4684
Australia,Rachin Ravindra,8,0,56,0,7.00,18,5,2,0,0,4684
Australia,James Neesham,2,0,32,1,16.00,4,1,4,0,0,4684
New Zealand,Mitchell Starc,9,0,89,0,9.88,21,6,3,9,0,4684
New Zealand,Josh Hazlewood,9,0,70,2,7.77,24,9,2,1,0,4684
New Zealand,Pat Cummins,10,0,66,2,6.60,26,7,1,3,0,4684
New Zealand,Glenn Maxwell,10,0,62,1,6.20,22,4,2,0,0,4684
New Zealand,Adam Zampa,10,0,74,3,7.40,22,6,3,0,0,4684
New Zealand,Mitchell Marsh,2,0,18,0,9.00,3,1,1,1,0,4684
Pakistan,Marco Jansen,9,1,43,3,4.77,40,5,0,6,2,4683
Pakistan,Lungi Ngidi,7.4,0,45,1,5.86,26,6,0,3,0,4683
Pakistan,Aiden Markram,4,0,20,0,5.00,12,2,0,0,0,4683
Pakistan,Keshav Maharaj,9,0,56,0,6.22,30,4,4,0,0,4683
Pakistan,Gerald Coetzee,7,0,42,2,6.00,20,4,1,1,0,4683
Pakistan,Tabraiz Shamsi,10,0,60,4,6.00,28,2,3,1,2,4683
South Africa,Iftikhar Ahmed,3,0,23,0,7.66,9,1,1,1,0,4683
South Africa,Shaheen Shah Afridi,10,0,45,3,4.50,37,5,0,3,0,4683
South Africa,Mohammad Nawaz,6.2,0,40,0,6.31,15,4,1,0,0,4683
South Africa,Haris Rauf,10,0,62,2,6.20,29,3,3,2,0,4683
South Africa,Mohammad Wasim,10,1,50,2,5.00,37,7,0,3,0,4683
South Africa,Usama Mir,8,0,45,2,5.62,25,1,3,1,0,4683
England,Dilshan Madushanka,5,0,37,0,7.40,18,7,0,0,0,4682
England,Kasun Rajitha,7,0,36,2,5.14,25,5,0,1,0,4682
England,Maheesh Theekshana,8.2,1,21,1,2.52,36,1,0,3,0,4682
England,Angelo Mathews,5,1,14,2,2.80,17,0,0,0,0,4682
England,Lahiru Kumara,7,0,35,3,5.00,25,4,1,0,0,4682
England,Dhananjaya de Silva,1,0,10,0,10.00,2,2,0,0,0,4682
Sri Lanka,Chris Woakes,6,0,30,0,5.00,21,4,0,2,0,4682
Sri Lanka,David Willey,5,0,30,2,6.00,18,5,0,1,0,4682
Sri Lanka,Adil Rashid,4.4,0,39,0,8.35,9,1,3,0,0,4682
Sri Lanka,Mark Wood,4,0,23,0,5.75,12,3,0,0,0,4682
Sri Lanka,Liam Livingstone,3,0,17,0,5.66,8,2,0,0,0,4682
Sri Lanka,Moeen Ali,3,0,21,0,7.00,5,2,0,0,0,4682
Australia,Aryan Dutt,7,0,59,1,8.42,17,9,1,0,0,4681
