innings,Bowler,Overs,Maidens,Runs,Wickets,Econ,0s,4s,6s,WD,NB,id
Australia,Colin Ackermann,4,0,19,0,4.75,10,0,1,0,0,4681
Australia,Logan van Beek,10,0,74,4,7.40,31,7,3,5,0,4681
Australia,Paul van Meekeren,10,0,64,0,6.40,29,7,1,3,0,4681
Australia,Vikramjit Singh,4,0,27,0,6.75,13,3,1,1,0,4681
Australia,Roelof van der Merwe,5,0,41,0,8.20,11,3,2,1,0,4681
Australia,Bas de Leede,10,0,115,2,11.50,20,13,6,1,1,4681
Netherlands,Mitchell Starc,4,0,22,1,5.50,19,5,0,2,0,4681
Netherlands,Josh Hazlewood,6,0,27,1,4.50,25,4,0,2,0,4681
Netherlands,Pat Cummins,4,0,14,1,3.50,16,2,0,0,0,4681
Netherlands,Mitchell Marsh,4,0,19,2,4.75,15,2,0,3,0,4681
Netherlands,Adam Zampa,3,0,8,4,2.66,10,0,0,0,0,4681
South Africa,Mustafizur Rahman,9,0,76,0,8.44,15,7,2,2,0,4680
South Africa,Mehidy Hasan Miraz,9,0,44,1,4.88,29,3,1,2,0,4680
South Africa,Shoriful Islam,9,0,76,1,8.44,19,6,4,0,0,4680
South Africa,Shakib Al Hasan,9,0,69,1,7.66,24,5,4,1,0,4680
South Africa,Hasan Mahmud,6,0,67,2,11.16,12,3,6,1,0,4680
South Africa,Nasum Ahmed,5,0,27,0,5.40,11,1,1,0,0,4680
South Africa,Mahmudullah,3,0,20,0,6.66,7,1,1,1,0,4680
Bangladesh,Marco Jansen,8,0,39,2,4.87,34,5,0,5,0,4680
Bangladesh,Lizaad Williams,8.4,1,56,2,6.46,33,7,2,5,0,4680
Bangladesh,Gerald Coetzee,10,0,62,3,6.20,36,8,2,1,1,4680
Bangladesh,Kagiso Rabada,10,1,42,2,4.20,36,3,1,0,1,4680
Bangladesh,Keshav Maharaj,10,0,32,1,3.20,36,2,0,1,0,4680
Pakistan,Naveen-ul-Haq,7,0,52,2,7.42,22,4,3,3,0,4679
Pakistan,Mujeeb Ur Rahman,8,0,55,0,6.87,20,5,2,0,0,4679
Pakistan,Mohammad Nabi,10,0,31,1,3.10,37,2,0,0,0,4679
Pakistan,Azmatullah Omarzai,5,0,50,1,10.00,9,4,2,3,0,4679
Pakistan,Rashid Khan,10,0,41,0,4.10,30,1,1,0,0,4679
Pakistan,Noor Ahmad,10,0,49,3,4.90,27,1,1,4,1,4679
Afghanistan,Shaheen Shah Afridi,10,0,58,1,5.80,27,5,0,2,0,4679
Afghanistan,Hasan Ali,10,1,44,1,4.40,42,4,2,1,0,4679
Afghanistan,Haris Rauf,8,1,53,0,6.62,19,6,0,3,0,4679
Afghanistan,Usama Mir,8,0,55,0,6.87,19,6,0,2,1,4679
Afghanistan,Shadab Khan,8,0,49,0,6.12,22,6,0,0,0,4679
Afghanistan,Iftikhar Ahmed,5,0,27,0,5.40,15,1,1,0,0,4679
New Zealand,Jasprit Bumrah,10,1,45,1,4.50,34,5,0,0,0,4678
New Zealand,Mohammed Siraj,10,1,45,1,4.50,34,3,1,4,0,4678
New Zealand,Mohammed Shami,10,0,54,5,5.40,32,6,1,0,0,4678
New Zealand,Ravindra Jadeja,10,0,48,0,4.80,28,2,1,0,0,4678
New Zealand,Kuldeep Yadav,10,0,73,2,7.30,25,3,4,3,0,4678
India,Trent Boult,10,0,60,1,6.00,33,6,2,1,0,4678
India,Matt Henry,9,0,55,1,6.11,31,7,2,0,0,4678
India,Mitchell Santner,10,0,37,1,3.70,32,1,1,0,0,4678
India,Lockie Ferguson,8,0,63,2,7.87,22,11,0,2,0,4678
India,Rachin Ravindra,9,0,46,0,5.11,28,3,2,1,0,4678
India,Glenn Phillips,2,0,12,0,6.00,3,1,0,0,0,4678
South Africa,Reece Topley,8.5,0,88,3,9.96,23,10,4,4,0,4677
South Africa,David Willey,9,1,61,0,6.77,27,6,2,3,1,4677
South Africa,Joe Root,6.1,0,48,0,7.78,6,2,2,0,0,4677
South Africa,Gus Atkinson,9,0,60,2,6.66,27,6,2,1,0,4677
South Africa,Mark Wood,7,0,76,0,10.85,9,10,2,1,0,4677
South Africa,Adil Rashid,10,0,61,2,6.10,20,4,1,0,0,4677
England,Lungi Ngidi,5,1,26,2,5.20,23,2,2,3,0,4677
England,Marco Jansen,5,0,35,2,7.00,19,4,2,1,0,4677
England,Kagiso Rabada,6,1,38,1,6.33,24,6,1,0,1,4677
England,Gerald Coetzee,4,0,35,3,8.75,13,5,1,1,0,4677
England,Keshav Maharaj,2,0,27,1,13.50,4,1,3,0,0,4677
Netherlands,Dilshan Madushanka,9.4,1,49,4,5.06,33,4,0,3,1,4676
Netherlands,Kasun Rajitha,9,0,50,4,5.55,32,5,0,6,0,4676
Netherlands,Chamika Karunaratne,9,1,58,0,6.44,25,1,2,6,0,4676
Netherlands,Maheesh Theekshana,10,0,44,1,4.40,28,0,0,2,0,4676
Netherlands,Dushan Hemantha,8,0,42,0,5.25,23,3,1,0,0,4676
Netherlands,Dhananjaya de Silva,4,0,13,0,3.25,16,0,0,3,0,4676
Sri Lanka,Aryan Dutt,10,0,44,3,4.40,38,3,1,2,0,4676
Sri Lanka,Logan van Beek,10,0,57,0,5.70,36,6,2,0,0,4676
Sri Lanka,Paul van Meekeren,8,1,39,1,4.87,29,4,0,2,0,4676
Sri Lanka,Bas de Leede,3,0,29,0,9.66,7,4,0,2,0,4676
Sri Lanka,Roelof van der Merwe,9,0,42,0,4.66,25,3,0,1,0,4676
Sri Lanka,Colin Ackermann,8.2,0,39,1,4.68,25,3,0,0,0,4676
Australia,Shaheen Shah Afridi,10,1,54,5,5.40,39,4,3,3,0,4675
Australia,Hasan Ali,8,0,57,0,7.12,26,4,3,3,0,4675
Australia,Iftikhar Ahmed,8,0,37,0,4.62,30,4,1,2,0,4675
Australia,Haris Rauf,8,0,83,3,10.37,18,8,5,3,0,4675
Australia,Usama Mir,9,0,82,1,9.11,19,6,5,2,0,4675
Australia,Mohammad Nawaz,7,0,43,0,6.14,20,3,2,0,0,4675
Pakistan,Mitchell Starc,8,0,65,1,8.12,22,10,0,6,0,4675
Pakistan,Josh Hazlewood,10,1,37,1,3.70,40,5,0,1,0,4675
Pakistan,Pat Cummins,7.3,0,62,2,8.26,22,6,4,0,0,4675
Pakistan,Adam Zampa,10,0,53,4,5.30,25,3,1,1,0,4675
Pakistan,Glenn Maxwell,5,0,40,0,8.00,10,6,0,0,0,4675
Pakistan,Marcus Stoinis,5,0,40,2,8.00,10,4,1,3,0,4675
Bangladesh,Jasprit Bumrah,10,1,41,2,4.10,39,2,2,1,0,4674
Bangladesh,Mohammed Siraj,10,0,60,2,6.00,34,8,1,3,0,4674
Bangladesh,Hardik Pandya,0.3,0,8,0,16.00,1,2,0,0,0,4674
Bangladesh,Virat Kohli,0.3,0,2,0,4.00,1,0,0,0,0,4674
Bangladesh,Shardul Thakur,9,0,59,1,6.55,23,3,3,0,0,4674
Bangladesh,Kuldeep Yadav,10,0,47,1,4.70,25,1,1,1,0,4674
Bangladesh,Ravindra Jadeja,10,0,38,2,3.80,36,2,1,0,0,4674
India,Shoriful Islam,8,0,54,0,6.75,25,6,2,0,0,4674
India,Mustafizur Rahman,5,0,29,0,5.80,17,5,0,0,0,4674
India,Nasum Ahmed,9.3,0,60,0,6.31,30,4,4,0,0,4674
India,Hasan Mahmud,8,0,65,1,8.12,22,5,3,1,2,4674
India,Mehidy Hasan Miraz,10,0,47,2,4.70,24,3,0,1,0,4674
India,Mahmudullah,1,0,6,0,6.00,0,0,0,0,0,4674
New Zealand,Mujeeb Ur Rahman,10,0,57,1,5.70,32,4,2,1,0,4673
New Zealand,Fazalhaq Farooqi,7,1,39,0,5.57,23,2,2,2,0,4673
New Zealand,Naveen-ul-Haq,8,0,48,2,6.00,17,4,0,0,0,4673
New Zealand,Mohammad Nabi,8,1,41,0,5.12,30,1,4,0,0,4673
New Zealand,Rashid Khan,10,0,43,1,4.30,35,4,0,2,0,4673
New Zealand,Azmatullah Omarzai,7,0,56,2,8.00,17,4,3,0,1,4673
Afghanistan,Trent Boult,7,1,18,2,2.57,32,1,0,2,0,4673
Afghanistan,Matt Henry,5,2,16,1,3.20,22,1,1,0,0,4673
Afghanistan,Mitchell Santner,7.4,0,39,3,5.08,24,3,1,1,0,4673
Afghanistan,Lockie Ferguson,7,1,19,3,2.71,32,2,0,1,0,4673
Afghanistan,Glenn Phillips,3,0,13,0,4.33,7,0,0,1,0,4673
Afghanistan,Rachin Ravindra,5,0,34,1,6.80,11,4,0,0,0,4673
Netherlands,Lungi Ngidi,9,1,57,2,6.33,31,5,1,6,1,4672
Netherlands,Marco Jansen,8,1,27,2,3.37,36,3,0,6,0,4672
Netherlands,Kagiso Rabada,9,1,56,2,6.22,30,5,2,3,0,4672
Netherlands,Gerald Coetzee,8,0,57,1,7.12,25,5,3,2,0,4672
Netherlands,Keshav Maharaj,9,0,38,1,4.22,34,5,0,0,0,4672
South Africa,Aryan Dutt,5,1,19,0,3.80,21,3,0,0,0,4672
South Africa,Logan van Beek,8.5,0,60,3,6.79,30,7,2,1,1,4672
South Africa,Colin Ackermann,3,0,16,1,5.33,13,2,1,0,0,4672
South Africa,Paul van Meekeren,9,0,40,2,4.44,33,4,1,0,0,4672
South Africa,Roelof van der Merwe,9,0,34,2,3.77,29,1,1,0,0,4672
South Africa,Bas de Leede,8,0,36,2,4.50,28,3,0,4,0,4672
Sri Lanka,Mitchell Starc,10,0,43,2,4.30,37,5,0,4,0,4671
Sri Lanka,Josh Hazlewood,7,1,36,0,5.14,28,6,0,1,0,4671
Sri Lanka,Pat Cummins,7,0,32,2,4.57,24,4,0,1,0,4671
Sri Lanka,Glenn Maxwell,9.3,0,36,1,3.78,30,2,0,1,0,4671
Sri Lanka,Adam Zampa,8,1,47,4,5.87,26,5,1,2,0,4671
Sri Lanka,Marcus Stoinis,2,0,11,0,5.50,5,1,0,0,0,4671
Australia,Lahiru Kumara,4,0,47,0,11.75,8,5,2,0,0,4671
Australia,Dilshan Madushanka,9,2,38,3,4.22,34,5,0,1,0,4671
Australia,Maheesh Theekshana,7,0,49,0,7.00,19,5,2,0,0,4671
Australia,Dunith Wellalage,9.2,0,53,1,5.67,29,6,1,0,0,4671
Australia,Chamika Karunaratne,3,0,15,0,5.00,9,1,0,2,0,4671
Australia,Dhananjaya de Silva,3,0,13,0,4.33,8,0,0,0,0,4671
Afghanistan,Chris Woakes,4,0,41,0,10.25,13,4,2,2,0,4670
Afghanistan,Reece Topley,8.5,1,52,1,5.88,30,5,1,3,1,4670
Afghanistan,Sam Curran,4,0,46,0,11.50,9,5,2,0,2,4670
Afghanistan,Adil Rashid,10,1,42,3,4.20,29,1,1,1,0,4670
Afghanistan,Mark Wood,9,0,50,2,5.55,27,5,1,0,0,4670
Afghanistan,Liam Livingstone,10,0,33,1,3.30,31,1,0,0,0,4670
Afghanistan,Joe Root,4,0,19,1,4.75,16,2,1,0,0,4670
England,Mujeeb Ur Rahman,10,1,51,3,5.10,31,2,1,1,0,4670
England,Fazalhaq Farooqi,7,0,50,1,7.14,23,9,0,2,0,4670
England,Naveen-ul-Haq,6,1,44,1,7.33,17,8,0,0,1,4670
England,Mohammad Nabi,6,0,16,2,2.66,23,0,0,1,0,4670
England,Rashid Khan,9.3,1,37,3,3.89,30,3,0,0,0,4670
England,Azmatullah Omarzai,2,0,13,0,6.50,5,2,0,0,0,4670
Pakistan,Jasprit Bumrah,7,1,19,2,2.71,33,3,0,1,0,4669
Pakistan,Mohammed Siraj,8,0,50,2,6.25,22,7,0,0,0,4669
Pakistan,Hardik Pandya,6,0,34,2,5.66,20,6,0,0,0,4669
Pakistan,Kuldeep Yadav,10,0,35,2,3.50,38,4,0,0,0,4669
Pakistan,Ravindra Jadeja,9.5,0,38,2,3.86,35,4,0,0,0,4669
Pakistan,Shardul Thakur,2,0,12,0,6.00,6,2,0,0,0,4669
India,Shaheen Shah Afridi,6,0,36,2,6.00,21,5,1,1,0,4669
India,Hasan Ali,6,0,34,1,5.66,23,7,0,0,0,4669
India,Mohammad Nawaz,8.3,0,47,0,5.52,23,3,2,0,0,4669
India,Haris Rauf,6,0,43,0,7.16,14,1,3,0,0,4669
India,Shadab Khan,4,0,31,0,7.75,10,2,2,0,0,4669
Bangladesh,Trent Boult,10,0,45,2,4.50,37,5,1,2,0,4668
Bangladesh,Matt Henry,10,0,58,2,5.80,27,6,0,0,1,4668
Bangladesh,Lockie Ferguson,10,0,49,3,4.90,44,4,3,2,2,4668
Bangladesh,Mitchell Santner,10,1,31,1,3.10,36,2,0,0,0,4668
Bangladesh,Glenn Phillips,2,0,13,1,6.50,8,1,1,0,1,4668
Bangladesh,Rachin Ravindra,7,0,37,0,5.28,22,2,2,0,0,4668
Bangladesh,Daryl Mitchell,1,0,11,0,11.00,1,0,1,0,0,4668
New Zealand,Mustafizur Rahman,8,0,36,1,4.50,26,3,0,3,0,4668
New Zealand,Shoriful Islam,7.5,1,43,0,5.48,30,5,1,3,0,4668
New Zealand,Taskin Ahmed,8,0,56,0,7.00,20,6,1,3,0,4668
New Zealand,Shakib Al Hasan,10,0,54,1,5.40,30,2,3,0,0,4668
New Zealand,Mehidy Hasan Miraz,9,0,58,0,6.44,17,4,1,1,0,4668
South Africa,Mitchell Starc,9,1,53,2,5.88,29,3,3,1,0,4667
South Africa,Josh Hazlewood,9,0,60,1,6.66,30,7,2,3,0,4667
South Africa,Glenn Maxwell,10,1,34,2,3.40,32,0,0,2,0,4667
South Africa,Pat Cummins,9,0,71,1,7.88,19,6,3,0,0,4667
South Africa,Adam Zampa,10,0,70,1,7.00,20,9,0,1,0,4667
South Africa,Mitchell Marsh,1,0,6,0,6.00,1,0,0,0,0,4667
South Africa,Marcus Stoinis,2,0,11,0,5.50,5,1,0,0,0,4667
Australia,Lungi Ngidi,8,2,18,1,2.25,35,0,0,1,0,4667
Australia,Marco Jansen,7,0,54,2,7.71,24,8,0,3,1,4667
Australia,Kagiso Rabada,8,1,33,3,4.12,35,5,0,1,1,4667
Australia,Keshav Maharaj,10,0,30,2,3.00,40,2,0,2,0,4667
Australia,Tabraiz Shamsi,7.5,0,38,2,4.85,24,4,0,0,0,4667
Afghanistan,Jasprit Bumrah,10,0,39,4,3.90,41,5,0,3,0,4666
Afghanistan,Mohammed Siraj,9,0,76,0,8.44,23,12,1,1,0,4666
Afghanistan,Hardik Pandya,7,0,43,2,6.14,23,5,1,2,0,4666
Afghanistan,Shardul Thakur,6,0,31,1,5.16,21,2,1,1,1,4666
Afghanistan,Kuldeep Yadav,10,0,40,1,4.00,35,0,3,0,0,4666
Afghanistan,Ravindra Jadeja,8,0,38,0,4.75,22,1,1,0,1,4666
India,Fazalhaq Farooqi,6,0,50,0,8.33,17,6,2,1,0,4666
India,Mujeeb Ur Rahman,8,0,64,0,8.00,18,6,1,3,0,4666
India,Naveen-ul-Haq,5,0,31,0,6.20,16,4,1,0,0,4666
India,Azmatullah Omarzai,4,0,34,0,8.50,12,5,1,1,0,4666
India,Mohammad Nabi,4,0,32,0,8.00,11,3,2,0,0,4666
India,Rashid Khan,8,0,57,2,7.12,12,4,1,1,0,4666
Sri Lanka,Shaheen Shah Afridi,9,0,66,1,7.33,27,9,1,4,0,4665
Sri Lanka,Hasan Ali,10,0,71,4,7.10,32,6,4,3,1,4665
Sri Lanka,Mohammad Nawaz,9,0,62,1,6.88,23,7,1,0,0,4665
Sri Lanka,Haris Rauf,10,0,64,2,6.40,30,6,2,1,0,4665
Sri Lanka,Shadab Khan,8,0,55,1,6.87,20,6,1,0,0,4665
Sri Lanka,Iftikhar Ahmed,4,0,22,0,5.50,11,2,0,1,0,4665
Pakistan,Maheesh Theekshana,10,0,59,1,5.90,23,3,0,1,0,4665
Pakistan,Dilshan Madushanka,9.2,0,60,2,6.42,27,5,1,2,1,4665
Pakistan,Dasun Shanaka,5,0,28,0,5.60,10,2,0,0,0,4665
Pakistan,Matheesha Pathirana,9,0,90,1,10.00,14,8,1,9,0,4665
Pakistan,Dunith Wellalage,10,0,62,0,6.20,24,4,2,0,0,4665
Pakistan,Dhananjaya de Silva,4,0,36,0,9.00,7,3,2,0,0,4665
Pakistan,Charith Asalanka,1,0,10,0,10.00,1,1,0,0,0,4665
England,Mustafizur Rahman,10,0,70,0,7.00,26,6,3,0,0,4664
England,Taskin Ahmed,6,0,38,1,6.33,19,4,1,2,0,4664
England,Shoriful Islam,10,0,75,3,7.50,25,11,0,1,0,4664
England,Mahedi Hasan,8,0,71,4,8.87,17,10,1,0,0,4664
England,Shakib Al Hasan,10,0,52,1,5.20,25,4,0,1,0,4664
England,Mehidy Hasan Miraz,6,0,55,0,9.16,10,6,2,0,0,4664
Bangladesh,Chris Woakes,8,0,49,2,6.12,24,6,0,0,0,4664
Bangladesh,Reece Topley,10,1,43,4,4.30,35,3,1,0,0,4664
Bangladesh,Sam Curran,7.2,0,47,1,6.40,15,5,0,2,0,4664
Bangladesh,Mark Wood,10,0,29,1,2.90,38,2,0,1,0,4664
Bangladesh,Adil Rashid,10,0,42,1,4.20,31,1,1,0,0,4664
Bangladesh,Liam Livingstone,3,0,13,1,4.33,11,0,1,0,0,4664
New Zealand,Aryan Dutt,10,2,62,2,6.20,31,3,3,1,0,4663
New Zealand,Ryan Klein,7,1,41,0,5.85,25,7,0,1,0,4663
New Zealand,Paul van Meekeren,9,0,59,2,6.55,28,7,2,0,1,4663
New Zealand,Roelof van der Merwe,9,0,56,2,6.22,20,5,1,0,0,4663
New Zealand,Colin Ackermann,4,0,28,0,7.00,9,1,2,0,0,4663
New Zealand,Bas de Leede,10,0,64,1,6.40,28,6,2,0,1,4663
New Zealand,Vikramjit Singh,1,0,9,0,9.00,1,1,0,0,0,4663
Netherlands,Trent Boult,8,0,34,0,4.25,29,3,0,1,0,4663
Netherlands,Matt Henry,8.3,0,40,3,4.70,29,4,0,0,0,4663
Netherlands,Mitchell Santner,10,0,59,5,5.90,30,4,2,0,0,4663
Netherlands,Lockie Ferguson,8,0,32,0,4.00,31,5,0,0,0,4663
Netherlands,Rachin Ravindra,10,0,46,1,4.60,30,3,1,0,1,4663
Netherlands,Glenn Phillips,2,0,11,0,5.50,2,0,0,0,0,4663
Australia,Jasprit Bumrah,10,0,35,2,3.50,41,1,1,4,0,4662
Australia,Mohammed Siraj,6.3,1,26,1,4.00,26,3,0,2,0,4662
Australia,Hardik Pandya,3,0,28,1,9.33,8,6,0,0,0,4662
Australia,Ravichandran Ashwin,10,1,34,1,3.40,32,2,0,0,0,4662
Australia,Kuldeep Yadav,10,0,42,2,4.20,31,2,1,0,0,4662
Australia,Ravindra Jadeja,10,2,28,3,2.80,38,2,0,0,0,4662
India,Mitchell Starc,8,0,31,1,3.87,28,2,0,3,0,4662
India,Josh Hazlewood,9,1,38,3,4.22,33,3,1,1,0,4662
India,Pat Cummins,6.2,0,33,0,5.21,19,2,1,1,1,4662
India,Glenn Maxwell,8,0,33,0,4.12,24,1,1,0,0,4662
India,Cameron Green,2,0,11,0,5.50,7,2,0,0,0,4662
India,Adam Zampa,8,0,53,0,6.62,13,4,0,0,0,4662
South Africa,Kasun Rajitha,10,1,90,1,9.00,24,8,5,2,0,4661
South Africa,Dilshan Madushanka,10,0,86,2,8.60,25,12,1,3,1,4661
South Africa,Dasun Shanaka,6,0,36,0,6.00,10,1,1,0,0,4661
South Africa,Dhananjaya de Silva,4,0,39,0,9.75,9,4,2,1,0,4661
South Africa,Matheesha Pathirana,10,0,95,1,9.50,22,10,2,5,0,4661
South Africa,Dunith Wellalage,10,0,81,1,8.10,27,10,3,2,0,4661
Sri Lanka,Lungi Ngidi,8,1,49,1,6.12,30,3,4,2,0,4661
Sri Lanka,Marco Jansen,10,0,92,2,9.20,31,10,6,3,0,4661
Sri Lanka,Kagiso Rabada,7.5,0,50,2,6.38,22,3,2,2,1,4661
Sri Lanka,Keshav Maharaj,10,0,62,2,6.20,33,6,2,2,0,4661
Sri Lanka,Gerald Coetzee,9,0,68,3,7.55,26,7,3,1,0,4661
Afghanistan,Taskin Ahmed,6,0,32,1,5.33,23,3,1,1,0,4660
Afghanistan,Shoriful Islam,6.2,1,34,2,5.36,23,5,0,2,0,4660
Afghanistan,Mustafizur Rahman,7,1,28,1,4.00,26,2,1,0,0,4660
Afghanistan,Shakib Al Hasan,8,0,30,3,3.75,28,3,0,0,0,4660
Afghanistan,Mehidy Hasan Miraz,9,3,25,3,2.77,38,1,0,1,0,4660
Afghanistan,Mahmudullah,1,0,7,0,7.00,3,1,0,0,0,4660
Bangladesh,Fazalhaq Farooqi,5,0,19,1,3.80,22,2,0,2,0,4660
Bangladesh,Mujeeb Ur Rahman,7,0,30,0,4.28,26,3,1,0,0,4660
Bangladesh,Naveen-ul-Haq,5.4,0,31,1,5.47,14,2,0,1,1,4660
Bangladesh,Rashid Khan,9,0,48,0,5.33,24,5,0,0,0,4660
Bangladesh,Mohammad Nabi,6,1,18,0,3.00,20,0,0,1,0,4660
Bangladesh,Azmatullah Omarzai,2,0,9,1,4.50,7,1,0,0,0,4660
Pakistan,Aryan Dutt,10,0,48,1,4.80,37,7,0,2,0,4659
Pakistan,Logan van Beek,6,0,30,1,5.00,20,4,0,1,0,4659
Pakistan,Colin Ackermann,8,1,39,2,4.87,26,1,2,0,0,4659
Pakistan,Paul van Meekeren,6,0,40,1,6.66,16,5,0,2,0,4659
Pakistan,Bas de Leede,9,0,62,4,6.88,22,9,0,3,0,4659
Pakistan,Roelof van der Merwe,6,0,36,0,6.00,14,2,1,0,1,4659
Pakistan,Vikramjit Singh,2,0,16,0,8.00,5,3,0,0,0,4659
Pakistan,Saqib Zulfiqar,2,0,15,0,7.50,3,2,0,0,0,4659
Netherlands,Shaheen Shah Afridi,7,0,37,1,5.28,26,5,0,2,0,4659
Netherlands,Hasan Ali,7,1,33,2,4.71,31,6,0,4,0,4659
Netherlands,Haris Rauf,9,0,43,3,4.77,33,5,1,2,0,4659
Netherlands,Iftikhar Ahmed,3,0,16,1,5.33,7,1,0,0,0,4659
Netherlands,Mohammad Nawaz,7,0,31,1,4.42,23,2,1,0,0,4659
Netherlands,Shadab Khan,8,0,45,1,5.62,23,1,2,1,0,4659
England,Trent Boult,10,1,48,1,4.80,34,3,2,1,0,4658
England,Matt Henry,10,1,48,3,4.80,31,6,0,0,0,4658
England,Mitchell Santner,10,0,37,2,3.70,26,0,0,1,0,4658
England,James Neesham,7,0,56,0,8.00,15,5,2,2,0,4658
England,Rachin Ravindra,10,0,76,1,7.60,14,6,2,0,0,4658
England,Glenn Phillips,3,0,17,2,5.66,5,1,0,0,0,4658
New Zealand,Chris Woakes,6,0,45,0,7.50,18,7,1,0,0,4658
New Zealand,Sam Curran,6,2,47,1,7.83,17,6,1,2,0,4658
New Zealand,Mark Wood,5,0,55,0,11.00,9,7,2,1,0,4658
New Zealand,Moeen Ali,9.2,0,60,0,6.42,20,2,3,0,0,4658
New Zealand,Adil Rashid,7,0,47,0,6.71,15,4,1,0,0,4658
New Zealand,Liam Livingstone,3,0,24,0,8.00,7,4,0,0,0,4658
