Team 1,Team 2,Winner,Margin,Ground,Match Date,id,Scorecard
India,Australia,Australia,6 wickets,Ahmedabad,"Nov 19, 2023",4705,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/india-vs-australia-final-1384439/full-scorecard
Australia,South Africa,Australia,3 wickets,Eden Gardens,"Nov 16, 2023",4704,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/australia-vs-south-africa-2nd-semi-final-1384438/full-scorecard
India,New Zealand,India,70 runs,Wankhede,"Nov 15, 2023",4703,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/india-vs-new-zealand-1st-semi-final-1384437/full-scorecard
India,Netherlands,India,160 runs,Bengaluru,"Nov 12, 2023",4702,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/india-vs-netherlands-45th-match-1384436/full-scorecard
England,Pakistan,England,93 runs,Eden Gardens,"Nov 11, 2023",4701,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/england-vs-pakistan-44th-match-1384435/full-scorecard
Australia,Bangladesh,Australia,8 wickets,Pune,"Nov 11, 2023",4700,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/australia-vs-bangladesh-43rd-match-1384434/full-scorecard
Afghanistan,South Africa,South Africa,5 wickets,Ahmedabad,"Nov 10, 2023",4699,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/afghanistan-vs-south-africa-42nd-match-1384433/full-scorecard
New Zealand,Sri Lanka,New Zealand,5 wickets,Bengaluru,"Nov 9, 2023",4698,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/new-zealand-vs-sri-lanka-41st-match-1384432/full-scorecard
England,Netherlands,England,160 runs,Pune,"Nov 8, 2023",4697,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/england-vs-netherlands-40th-match-1384431/full-scorecard
Afghanistan,Australia,Australia,3 wickets,Wankhede,"Nov 7, 2023",4696,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/afghanistan-vs-australia-39th-match-1384430/full-scorecard
Bangladesh,Sri Lanka,Bangladesh,3 wickets,Delhi,"Nov 6, 2023",4695,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/bangladesh-vs-sri-lanka-38th-match-1384429/full-scorecard
India,South Africa,India,243 runs,Eden Gardens,"Nov 5, 2023",4694,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/india-vs-south-africa-37th-match-1384428/full-scorecard
Australia,England,Australia,33 runs,Ahmedabad,"Nov 4, 2023",4693,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/australia-vs-england-36th-match-1384427/full-scorecard
New Zealand,Pakistan,Pakistan,21 runs,Bengaluru,"Nov 4, 2023",4692,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/new-zealand-vs-pakistan-35th-match-1384426/full-scorecard
Afghanistan,Netherlands,Afghanistan,7 wickets,Lucknow,"Nov 3, 2023",4691,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/afghanistan-vs-netherlands-34th-match-1384425/full-scorecard
India,Sri Lanka,India,302 runs,Wankhede,"Nov 2, 2023",4690,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/india-vs-sri-lanka-33rd-match-1384424/full-scorecard
New Zealand,South Africa,South Africa,190 runs,Pune,"Nov 1, 2023",4689,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/new-zealand-vs-south-africa-32nd-match-1384423/full-scorecard
Bangladesh,Pakistan,Pakistan,7 wickets,Eden Gardens,"Oct 31, 2023",4688,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/bangladesh-vs-pakistan-31st-match-1384422/full-scorecard
Afghanistan,Sri Lanka,Afghanistan,7 wickets,Pune,"Oct 30, 2023",4687,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/afghanistan-vs-sri-lanka-30th-match-1384421/full-scorecard
India,England,India,100 runs,Lucknow,"Oct 29, 2023",4686,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/india-vs-england-29th-match-1384420/full-scorecard
Bangladesh,Netherlands,Netherlands,87 runs,Eden Gardens,"Oct 28, 2023",4685,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/bangladesh-vs-netherlands-28th-match-1384419/full-scorecard
Australia,New Zealand,Australia,5 runs,Dharamsala,"Oct 28, 2023",4684,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/australia-vs-new-zealand-27th-match-1384418/full-scorecard
Pakistan,South Africa,South Africa,1 wicket,Chennai,"Oct 27, 2023",4683,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/pakistan-vs-south-africa-26th-match-1384417/full-scorecard
England,Sri Lanka,Sri Lanka,8 wickets,Bengaluru,"Oct 26, 2023",4682,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/england-vs-sri-lanka-25th-match-1384416/full-scorecard
Australia,Netherlands,Australia,309 runs,Delhi,"Oct 25, 2023",4681,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/australia-vs-netherlands-24th-match-1384415/full-scorecard
Bangladesh,South Africa,South Africa,149 runs,Wankhede,"Oct 24, 2023",4680,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/bangladesh-vs-south-africa-23rd-match-1384414/full-scorecard
Afghanistan,Pakistan,Afghanistan,8 wickets,Chennai,"Oct 23, 2023",4679,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/afghanistan-vs-pakistan-22nd-match-1384413/full-scorecard
India,New Zealand,India,4 wickets,Dharamsala,"Oct 22, 2023",4678,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/india-vs-new-zealand-21st-match-1384412/full-scorecard
England,South Africa,South Africa,229 runs,Wankhede,"Oct 21, 2023",4677,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/england-vs-south-africa-20th-match-1384411/full-scorecard
Netherlands,Sri Lanka,Sri Lanka,5 wickets,Lucknow,"Oct 21, 2023",4676,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/netherlands-vs-sri-lanka-19th-match-1384410/full-scorecard
Australia,Pakistan,Australia,62 runs,Bengaluru,"Oct 20, 2023",4675,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/australia-vs-pakistan-18th-match-1384409/full-scorecard
India,Bangladesh,India,7 wickets,Pune,"Oct 19, 2023",4674,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/india-vs-bangladesh-17th-match-1384408/full-scorecard
Afghanistan,New Zealand,New Zealand,149 runs,Chennai,"Oct 18, 2023",4673,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/afghanistan-vs-new-zealand-16th-match-1384407/full-scorecard
Netherlands,South Africa,Netherlands,38 runs,Dharamsala,"Oct 17, 2023",4672,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/netherlands-vs-south-africa-15th-match-1384406/full-scorecard
Australia,Sri Lanka,Australia,5 wickets,Lucknow,"Oct 16, 2023",4671,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/australia-vs-sri-lanka-14th-match-1384405/full-scorecard
Afghanistan,England,Afghanistan,69 runs,Delhi,"Oct 15, 2023",4670,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/afghanistan-vs-england-13th-match-1384404/full-scorecard
India,Pakistan,India,7 wickets,Ahmedabad,"Oct 14, 2023",4669,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/india-vs-pakistan-12th-match-1384403/full-scorecard
Bangladesh,New Zealand,New Zealand,8 wickets,Chennai,"Oct 13, 2023",4668,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/bangladesh-vs-new-zealand-11th-match-1384402/full-scorecard
Australia,South Africa,South Africa,134 runs,Lucknow,"Oct 12, 2023",4667,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/australia-vs-south-africa-10th-match-1384401/full-scorecard
India,Afghanistan,India,8 wickets,Delhi,"Oct 11, 2023",4666,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/india-vs-afghanistan-9th-match-1384400/full-scorecard
Pakistan,Sri Lanka,Pakistan,6 wickets,Hyderabad,"Oct 10, 2023",4665,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/pakistan-vs-sri-lanka-8th-match-1384399/full-scorecard
Bangladesh,England,England,137 runs,Dharamsala,"Oct 10, 2023",4664,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/bangladesh-vs-england-7th-match-1384398/full-scorecard
Netherlands,New Zealand,New Zealand,99 runs,Hyderabad,"Oct 9, 2023",4663,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/netherlands-vs-new-zealand-6th-match-1384397/full-scorecard
India,Australia,India,6 wickets,Chennai,"Oct 8, 2023",4662,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/india-vs-australia-5th-match-1384396/full-scorecard
South Africa,Sri Lanka,South Africa,102 runs,Delhi,"Oct 7, 2023",4661,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/south-africa-vs-sri-lanka-4th-match-1384395/full-scorecard
Afghanistan,Bangladesh,Bangladesh,6 wickets,Dharamsala,"Oct 7, 2023",4660,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/afghanistan-vs-bangladesh-3rd-match-1384394/full-scorecard
Netherlands,Pakistan,Pakistan,81 runs,Hyderabad,"Oct 6, 2023",4659,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/netherlands-vs-pakistan-2nd-match-1384393/full-scorecard
England,New Zealand,New Zealand,9 wickets,Ahmedabad,"Oct 5, 2023",4658,https://www.espncricinfo.com//series/icc-cricket-world-cup-2023-24-1367856/england-vs-new-zealand-1st-match-1384392/full-scorecard
